request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay 15656000 today; minimum balance 24768300 protected.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay 6670 today; minimum balance 20500 protected.
request_28,426.86,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Wait and pay 1302.4 on 2024-07-15; minimum balance 1100 protected throughout.
request_29,32600.95,not_affordable,not_recommended,none,,none,Cannot afford request_29 safely within the horizon; ASP=32600.95 with minimum balance 28300 protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Pay 775.2 today via installments; minimum balance 900 protected.
request_31,5907921.93,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Wait and pay 18164000 on 2024-10-15; minimum balance 16588900 protected throughout.
request_32,23199.0,affordable_later,wait,2025-03-15:40018,2025-03-15,none,Wait and pay 40018 on 2025-03-15; minimum balance 35700 protected throughout.
request_33,51069.49,affordable_later,wait,2026-02-15:118000,2026-02-15,none,Wait and pay 118000 on 2026-02-15; minimum balance 102100 protected throughout.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay 129400 today; minimum balance 138500 protected.
request_35,56578.66,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Wait and pay 212000 on 2025-12-15; minimum balance 106400 protected throughout.
request_36,905.16,affordable_later,wait,2026-08-15:3954,2026-08-15,none,Wait and pay 3954 on 2026-08-15; minimum balance 2400 protected throughout.
request_37,6763768.84,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,Wait and pay 14649000 on 2024-04-15; minimum balance 17056200 protected throughout.
request_38,261.06,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Wait and pay 971.3 on 2025-09-15; minimum balance 400 protected throughout.
request_39,160378.32,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait and pay 208600 on 2026-04-15; minimum balance 213400 protected throughout.
request_40,540,affordable_later,wait,2024-07-15:1290.3,2024-07-15,none,Wait and pay 1290.3 on 2024-07-15; minimum balance 1500 protected throughout.
request_41,13519249.68,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Wait and pay 38760000 on 2025-12-15; minimum balance 25366600 protected throughout.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay 52100 today; minimum balance 113100 protected.
request_43,9802940.49,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,Wait and pay 43339000 on 2024-10-15; minimum balance 21398000 protected throughout.
request_44,41517.88,affordable_later,wait,2025-03-15:95800,2025-03-15,none,Wait and pay 95800 on 2025-03-15; minimum balance 82900 protected throughout.
request_45,6301384.76,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,Wait and pay 21983000 on 2026-08-15; minimum balance 11149800 protected throughout.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Pay 49450 today via installments; minimum balance 84000 protected.
request_47,32494380.30,affordable_with_plan,full_payment,2025-05-05:38114000,,stop:event_4340|stop:event_4341|stop:event_4339,Pay 32494380.30 today; minimum balance 30049000 protected. Spending changes applied: stop:event_4340; stop:event_4341; stop:event_4339.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay 45700 today; minimum balance 71300 protected.
request_49,15786210.35,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,Pay 15786210.35 today via installments; minimum balance 20275700 protected.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay 43900 today; minimum balance 99700 protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay 2191000 today; minimum balance 7811000 protected.
request_52,26530,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait and pay 28870 on 2024-06-15; minimum balance 41500 protected throughout.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Pay 714.42 today via installments; minimum balance 2100 protected.
request_54,9949.09,not_affordable,not_recommended,none,,none,Cannot afford request_54 safely within the horizon; ASP=9949.09 with minimum balance 37000 protected.
request_55,148236.76,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Pay 148236.76 today via installments; minimum balance 124300 protected.
request_56,758.56,affordable_with_plan,partial_payment,2025-02-03:758.56|2025-02-15:123.00,2025-02-15,none,Pay 758.56 today via partial_payment; minimum balance 2100 protected.
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Wait and pay 61446 on 2026-05-15; minimum balance 42700 protected throughout.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay 16226000 today; minimum balance 14433900 protected.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Pay 140600 today via installments; minimum balance 132600 protected.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay 199.89 today; minimum balance 400 protected.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Pay 29062 today via installments; minimum balance 36700 protected.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay 404.23 today; minimum balance 1300 protected.
request_63,58396.01,affordable_with_plan,partial_payment,2026-07-07:58396.01|2026-09-15:285503.99,2026-09-15,none,Pay 58396.01 today via partial_payment; minimum balance 153500 protected.
request_64,0,not_affordable,not_recommended,none,,none,Cannot recommend: material unresolved evidence prevents a provably safe amount (conservative ASP=0).
request_65,8328.45,not_affordable,not_recommended,none,2026-01-15,none,Cannot afford request_65 safely within the horizon; ASP=8328.45 with minimum balance 15500 protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay 22200 today; minimum balance 80700 protected.
request_67,596.52,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Wait and pay 2094 on 2024-10-15; minimum balance 1200 protected throughout.
request_68,1616.48,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,Pay 1616.48 today via installments; minimum balance 1500 protected.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay 529.1 today; minimum balance 700 protected.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,Wait and pay 243900 on 2025-01-15; minimum balance 115000 protected throughout.
request_71,2172849.03,not_affordable,not_recommended,none,2025-07-15,none,Cannot afford request_71 safely within the horizon; ASP=2172849.03 with minimum balance 8884800 protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay 11330 today; minimum balance 12200 protected.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay 71400 today; minimum balance 103200 protected.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay 5010 today; minimum balance 21900 protected.
